sex,age,absences,G1,G2,G3,Subject
F,18,6,5,6,6,Maths
F,17,4,5,5,6,Maths
F,15,10,7,8,10,Maths
F,15,2,15,14,15,Maths
F,16,4,6,10,10,Maths
M,16,10,15,15,15,Maths
M,16,0,12,12,11,Maths
F,17,6,6,5,6,Maths
M,15,0,16,18,19,Maths
M,15,0,14,15,15,Maths
F,15,0,10,8,9,Maths
F,15,4,10,12,12,Maths
M,15,2,14,14,14,Maths
M,15,2,10,10,11,Maths
M,15,0,14,16,16,Maths
F,16,4,14,14,14,Maths
F,16,6,13,14,14,Maths
F,16,4,8,10,10,Maths
M,17,16,6,5,5,Maths
M,16,4,8,10,10,Maths
M,15,0,13,14,15,Maths
M,15,0,12,15,15,Maths
M,16,2,15,15,16,Maths
M,16,0,13,13,12,Maths
F,15,2,10,9,8,Maths
F,16,14,6,9,8,Maths
M,15,2,12,12,11,Maths
M,15,4,15,16,15,Maths
M,16,4,11,11,11,Maths
M,16,16,10,12,11,Maths
M,15,0,9,11,12,Maths
M,15,0,17,16,17,Maths
M,15,0,17,16,16,Maths
M,15,0,8,10,12,Maths
M,16,0,12,14,15,Maths
F,15,0,8,7,6,Maths
M,15,2,15,16,18,Maths
M,16,7,15,16,15,Maths
F,15,2,12,12,11,Maths
F,15,8,14,13,13,Maths
F,16,25,7,10,11,Maths
M,15,8,12,12,12,Maths
M,15,2,19,18,18,Maths
M,15,0,8,8,11,Maths
F,16,14,10,10,9,Maths
F,15,8,8,8,6,Maths
F,16,12,11,12,11,Maths
M,16,4,19,19,20,Maths
M,15,2,15,15,14,Maths
F,15,2,7,7,7,Maths
F,16,2,12,13,13,Maths
F,15,2,11,13,13,Maths
M,15,6,11,11,10,Maths
F,15,0,8,10,11,Maths
F,15,6,10,13,13,Maths
F,16,8,8,9,10,Maths
F,15,0,14,15,15,Maths
M,15,4,14,15,15,Maths
M,15,2,9,10,9,Maths
F,16,2,15,16,16,Maths
F,16,6,10,11,11,Maths
F,16,6,10,8,11,Maths
F,16,4,8,10,9,Maths
F,16,2,10,9,9,Maths
F,15,0,10,10,10,Maths
F,16,2,16,15,15,Maths
M,15,4,13,13,12,Maths
F,16,4,7,7,6,Maths
F,15,2,8,9,8,Maths
F,15,12,16,16,16,Maths
M,16,0,13,15,15,Maths
M,15,0,10,10,10,Maths
F,15,2,8,6,5,Maths
M,16,2,12,12,14,Maths
F,16,54,11,12,11,Maths
M,15,6,9,9,10,Maths
M,15,8,11,11,10,Maths
F,16,0,11,11,11,Maths
M,17,2,8,8,10,Maths
F,16,12,5,5,5,Maths
M,15,2,10,12,12,Maths
M,15,4,11,10,11,Maths
F,15,10,7,6,6,Maths
M,15,4,15,15,15,Maths
F,15,2,9,10,10,Maths
F,15,6,7,9,8,Maths
F,16,4,8,7,6,Maths
F,15,4,13,14,14,Maths
M,16,12,11,10,10,Maths
M,16,18,8,6,7,Maths
F,16,0,7,7,8,Maths
F,15,4,16,17,18,Maths
F,16,4,7,6,6,Maths
F,16,0,11,10,10,Maths
M,15,6,11,13,14,Maths
F,15,2,7,10,10,Maths
M,16,2,11,15,15,Maths
F,16,2,8,9,10,Maths
F,16,6,11,14,14,Maths
F,16,0,7,9,8,Maths
M,16,14,7,7,5,Maths
